pmid,title,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
25807542,The Unique Chemistry of Eastern Mediterranean Water Masses Selects for Distinct Microbial Communities by Depth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nitrogen (2),-,-
25763031,Plant growth promoting capability and genetic diversity of bacteria isolated from mud volcano and lime cave of Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,phosphate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17902831,Long-range acoustic scattering from a shallow-water mud-volcano cluster.,-,-,-,-,carbonate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19783748,"Molecular Characterization of Potential Nitrogen Fixation by Anaerobic Methane-Oxidizing Archaea in the Methane Seep Sediments at the Number 8 Kumano Knoll in the Kumano Basin, Offshore of Japan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (4),-,-,-,-,-,-,-,-,-,"nitrogen (4), N2 (1)",-,-
24722631,Diverse sulfate-reducing bacteria of the Desulfosarcina/Desulfococcus clade are the key alkane degraders at marine seeps,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,butane (2),-,-,-,-,-,-,-,-,-
22180538,Unsupervised discovery of microbial population structure within metagenomes using nucleotide base composition,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24116017,Methane-Carbon Flow into the Benthic Food Web at Cold Seeps – A Case Study from the Costa Rica Subduction Zone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (1),-,-,-,-,-,-,-,-,-,-,-,-
27536274,"How Clonal Is Clonal? Genome Plasticity across Multicellular Segments of a “Candidatus Marithrix sp.” Filament from Sulfidic, Briny Seafloor Sediments in the Gulf of Mexico",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25384013,Differences in Life-Histories Refute Ecological Equivalence of Cryptic Species and Provide Clues to the Origin of Bathyal Halomonhystera (Nematoda),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24723919,Spatial variations of community structures and methane cycling across a transect of Lei-Gong-Hou mud volcanoes in eastern Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (5),-,-,-,-,-,-,-,-,-,-,-,-
