pmid,title,phylum,class,order,family,genus
25807542,The Unique Chemistry of Eastern Mediterranean Water Masses Selects for Distinct Microbial Communities by Depth,"Thaumarchaeota (6), Euryarchaeota (2)",Halobacteria (4),-,-,-
25763031,Plant growth promoting capability and genetic diversity of bacteria isolated from mud volcano and lime cave of Andaman and Nicobar Islands,-,-,-,-,-
19783748,"Molecular Characterization of Potential Nitrogen Fixation by Anaerobic Methane-Oxidizing Archaea in the Methane Seep Sediments at the Number 8 Kumano Knoll in the Kumano Basin, Offshore of Japan",-,-,"Methanococcales (3), Methanosarcinales (1)",-,"Methanosarcina (7), Methanococcoides (1), Methanocaldococcus (1)"
24722631,Diverse sulfate-reducing bacteria of the Desulfosarcina/Desulfococcus clade are the key alkane degraders at marine seeps,-,-,-,-,-
22180538,Unsupervised discovery of microbial population structure within metagenomes using nucleotide base composition,-,-,-,-,-
24116017,Methane-Carbon Flow into the Benthic Food Web at Cold Seeps – A Case Study from the Costa Rica Subduction Zone,-,-,-,-,-
25384013,Differences in Life-Histories Refute Ecological Equivalence of Cryptic Species and Provide Clues to the Origin of Bathyal Halomonhystera (Nematoda),-,-,-,-,-
24723919,Spatial variations of community structures and methane cycling across a transect of Lei-Gong-Hou mud volcanoes in eastern Taiwan,-,-,"Methanomicrobiales (2), Methanosarcinales (1)",-,"Methanosarcina (5), Methanococcoides (5), Methanolobus (1), Methanoplanus (2), Methanocalculus (1), Methanospirillum (1)"
17051217,Novel microbial communities of the Haakon Mosby mud volcano and their role as a methane sink,-,-,-,-,-
28396389,Subduction zone forearc serpentinites as incubators for deep microbial life,-,-,-,-,-
29674649,Mud extrusion and ring-fault gas seepage – upward branching fluid discharge at a deep-sea mud volcano,-,-,-,-,-
22170423,Viral infections stimulate the metabolism and shape prokaryotic assemblages in submarine mud volcanoes,-,-,-,-,-
22347218,A System for Incubations at High Gas Partial Pressure,-,-,-,-,Methanococcoides (1)
22882187,Anaerobic oxidation of methane in hypersaline cold seep sediments,Euryarchaeota (1),-,-,-,-
20334908,Colonization of organic substrates deployed in deep-sea reducing habitats by symbiotic species and associated fauna,-,-,-,-,-
17225386,Acoustic scattering from mud volcanoes and carbonate mounds,-,-,-,-,-
18378658,"Biogeochemistry and Community Composition of Iron- and Sulfur-Precipitating Microbial Mats at the Chefren Mud Volcano (Nile Deep Sea Fan, Eastern Mediterranean)","Crenarchaeota (1), Euryarchaeota (1)",-,-,-,-
27103730,"Draft Genome Sequence of Methanoculleus sediminis S3FaT, a Hydrogenotrophic Methanogen Isolated from a Submarine Mud Volcano in Taiwan",-,-,-,-,Methanoculleus (5)
